	Adipose Tissue	Adrenal Gland	Bladder	Blood	Blood Vessel	Brain	Breast	Cervix Uteri	Colon	Esophagus	Fallopian Tube	Heart	Kidney	Liver	Lung	Muscle	Nerve	Ovary	Pancreas	Pituitary	Prostate	Salivary Gland	Skin	Small Intestine	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina
count	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0	779.0
mean	50.19143371245184	33.61876709178431	49.57874641976892	50.097735754813804	57.683957268292644	18.92330708023108	50.954531772785614	63.084031509627636	38.090099645057755	39.842077120667525	56.40848898459565	15.404635367137368	25.119441008985895	17.27600709884466	67.2965383183569	23.527724863286295	58.873421772143764	64.80247085622592	18.634264670089852	38.28360616174583	43.470492001925585	37.98477864184849	49.551988215661126	44.064486277278554	65.34776082220803	30.61773977342746	33.49421121951221	57.345000935173324	61.37593996534024	52.343328279845935
std	158.61694104037164	101.87203845335816	131.88504542946723	360.6528201731951	168.54074350429613	53.21593596663485	160.46595917223073	195.04561939228967	121.32798287076038	103.4859210755017	161.52841513982028	42.94846760845312	77.39417993815199	49.02463497607901	257.00309932560145	74.88923448400978	163.6252021118547	269.00916739351067	78.78975282392462	114.07400285911997	118.40036591477623	112.10575263998226	153.2991666889534	163.85905294028592	316.5264068657955	96.4883795578524	69.84952969516628	164.55288263500515	193.03589523076965	160.71286679378042
min	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25%	4.5075	2.59325	5.602	0.5765	3.2975	1.83175	5.453749999999999	6.047	4.49625	3.3755	5.528	1.1004999999999998	2.1875	1.1280000000000001	6.851500000000001	0.962825	5.744	3.2314999999999996	1.354	3.667	5.5142500000000005	4.5775	4.605	4.874	5.409	3.17875	4.6875	5.66525	5.231999999999999	5.878500000000001
50%	14.68	10.005	18.82	5.052	16.87	6.0265	16.73	21.1	13.0	13.845	18.49	4.385	7.63	4.881	19.89	5.869	19.915	18.88	5.178999999999999	12.54	16.155	13.38	15.14	14.11	17.19	9.532	15.7	19.345	20.62	17.94
75%	33.765	25.515	41.905	20.595	43.715	14.645	37.5375	49.905	28.299999999999997	33.292500000000004	43.125	10.915	17.450000000000003	12.855	44.480000000000004	17.325	47.135000000000005	44.004999999999995	12.364999999999998	29.68	34.55	29.09	37.74	30.645000000000003	43.9025	22.1075	33.71	41.197500000000005	50.97	40.79
max	1979.0	1084.5	1770.0	8644.0	2477.0	727.2	1958.5	2521.0	1705.5	1511.5	1879.0	493.7	967.8	579.1	4566.0	990.45	2164.0	4618.0	1327.5	1353.0	1444.0	1559.0	1915.0	2705.0	6267.5	1396.0	890.3	1761.0	2574.0	2404.0
