	Adipose Tissue	Adrenal Gland	Bladder	Blood	Blood Vessel	Brain	Breast	Cervix Uteri	Colon	Esophagus	Fallopian Tube	Heart	Kidney	Liver	Lung	Muscle	Nerve	Ovary	Pancreas	Pituitary	Prostate	Salivary Gland	Skin	Small Intestine	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina
count	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0	56202.0
mean	16.335619016796592	17.10777975677912	16.663300015159635	15.233665532258636	16.720559980908195	16.984681197315062	16.138433095708308	16.543685152681416	16.1548402323316	17.003478857540628	16.455277281004236	17.05462534552689	15.812126677502594	15.895569706505048	16.124923634763913	16.57020619960408	16.956318856063863	16.81349765675607	16.52074027220568	15.984666648677987	16.22790551604035	14.989198779029286	16.792584053449964	15.809636122273261	16.51667379726707	15.245102453444709	17.319774570904933	16.608928769714606	16.5841835424184	15.826177990676603
std	398.6504506153317	582.642469503538	351.0555268246615	1113.0182845402767	247.19493869794377	762.4060009917081	375.47173056866154	238.2598670207447	514.3825051974504	436.56266976049	283.7422321306726	785.9327156817333	674.5298284063532	548.7384212318684	262.732642225977	534.0552783480981	270.16409522372845	235.57997973806775	668.7473112059504	432.00338204989816	410.7550958160361	341.0151316035662	350.31154054745207	464.86797620801366	287.0351135978221	506.6613356807553	359.3385798016289	343.8724693292534	247.54684092155017	246.66319620668432
min	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25%	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50%	0.0	0.0	0.0	0.0	0.0	0.0	0.02801	0.03640500000000001	0.019235	0.0	0.045795	0.0	0.013364999999999998	0.0	0.04192	0.0	0.042262499999999995	0.025535000000000002	0.0	0.06494	0.0491325	0.034170000000000006	0.021894999999999998	0.040825	0.032045000000000004	0.0	0.52135	0.0456825	0.01619	0.03057
75%	1.8969999999999998	1.492375	2.668	0.49210000000000004	1.7269999999999999	1.503875	2.3605	3.0637499999999998	2.1175	1.7945	3.07675	0.6414	1.5337500000000002	0.8287499999999999	2.8975000000000004	0.633325	3.209625	2.68675	0.9357624999999999	3.28175	3.0385	2.28375	2.2447500000000002	2.48775	2.7047499999999998	1.625875	6.391500000000001	3.350125	2.80675	2.784
max	38300.0	60775.0	34110.0	246600.0	20530.0	88690.0	34805.0	24350.0	53740.0	40470.0	25190.0	82390.0	76160.0	55510.0	24080.0	49600.0	24250.0	21320.0	99095.0	54500.0	40380.0	29230.0	34240.0	45570.0	26200.0	44110.0	35450.0	34950.0	22430.0	21010.0
